 ######################################################################
 #Data for Case=          18
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
 # 9.99999975E-05   10001     10000  3.75000000E+00  3.88851095E+00  2.43352343E+00  4.05441345E-02  1.34744846E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  3.55564634E-02  1.57942647E+00
  3.56370978E-02  1.57948981E+00
  3.57177402E-02  1.57955304E+00
  3.57983907E-02  1.57961617E+00
  3.58790493E-02  1.57967920E+00
  3.59597159E-02  1.57974212E+00
  3.60403907E-02  1.57980494E+00
  3.61210734E-02  1.57986766E+00
  3.62017643E-02  1.57993028E+00
  3.62824632E-02  1.57999280E+00
  3.63631702E-02  1.58005521E+00
  3.64438852E-02  1.58011752E+00
  3.65246084E-02  1.58017973E+00
  3.66053396E-02  1.58024183E+00
  3.66860788E-02  1.58030384E+00
  3.67668262E-02  1.58036574E+00
  3.68475816E-02  1.58042754E+00
  3.69283451E-02  1.58048923E+00
  3.70091167E-02  1.58055082E+00
  3.70898963E-02  1.58061231E+00
  3.71706841E-02  1.58067370E+00
  3.72514799E-02  1.58073499E+00
  3.73322838E-02  1.58079617E+00
  3.74130958E-02  1.58085725E+00
  3.74939158E-02  1.58091822E+00
  3.75747440E-02  1.58097909E+00
  3.76555802E-02  1.58103986E+00
  3.77364245E-02  1.58110053E+00
  3.78172769E-02  1.58116109E+00
  3.78981373E-02  1.58122156E+00
  3.79790059E-02  1.58128191E+00
  3.80598826E-02  1.58134217E+00
  3.81407673E-02  1.58140232E+00
  3.82216601E-02  1.58146237E+00
  3.83025610E-02  1.58152231E+00
  3.83834700E-02  1.58158215E+00
  3.84643871E-02  1.58164189E+00
  3.85453123E-02  1.58170152E+00
  3.86262456E-02  1.58176105E+00
  3.87071870E-02  1.58182048E+00
  3.87881365E-02  1.58187981E+00
  3.88690940E-02  1.58193903E+00
  3.89500597E-02  1.58199814E+00
  3.90310334E-02  1.58205715E+00
  3.91120153E-02  1.58211606E+00
  3.91930053E-02  1.58217487E+00
  3.92740033E-02  1.58223357E+00
  3.93550095E-02  1.58229217E+00
  3.94360237E-02  1.58235066E+00
  3.95170461E-02  1.58240905E+00
  3.95980765E-02  1.58246734E+00
  3.96791151E-02  1.58252552E+00
  3.97601618E-02  1.58258360E+00
  3.98412165E-02  1.58264158E+00
  3.99222794E-02  1.58269945E+00
  4.00033504E-02  1.58275721E+00
  4.00844295E-02  1.58281488E+00
  4.01655167E-02  1.58287243E+00
  4.02466120E-02  1.58292989E+00
  4.03277154E-02  1.58298724E+00
  4.04088270E-02  1.58304448E+00
  4.04899466E-02  1.58310162E+00
  4.05710744E-02  1.58315866E+00
  4.06522102E-02  1.58321559E+00
  4.07333542E-02  1.58327242E+00
  4.08145063E-02  1.58332914E+00
  4.08956665E-02  1.58338576E+00
