 ######################################################################
 #Data for Case=          16
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001       328  1.79999995E+00  2.03075785E+00  1.66677017E+00  4.31027266E-02  1.11991760E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  1.98277210E-02  1.12148439E+00
  1.99067825E-02  1.12163599E+00
  1.99858518E-02  1.12178749E+00
  2.00649290E-02  1.12193889E+00
  2.01440142E-02  1.12209019E+00
  2.02231073E-02  1.12224139E+00
  2.03022082E-02  1.12239249E+00
  2.03813171E-02  1.12254349E+00
  2.04604339E-02  1.12269439E+00
  2.05395586E-02  1.12284520E+00
  2.06186912E-02  1.12299590E+00
  2.06978318E-02  1.12314650E+00
  2.07769802E-02  1.12329700E+00
  2.08561366E-02  1.12344741E+00
  2.09353008E-02  1.12359771E+00
  2.10144730E-02  1.12374791E+00
  2.10936531E-02  1.12389801E+00
  2.11728412E-02  1.12404802E+00
  2.12520371E-02  1.12419791E+00
  2.13312410E-02  1.12434772E+00
  2.14104528E-02  1.12449741E+00
  2.14896725E-02  1.12464702E+00
  2.15689001E-02  1.12479651E+00
  2.16481357E-02  1.12494591E+00
  2.17273792E-02  1.12509521E+00
  2.18066306E-02  1.12524440E+00
  2.18858899E-02  1.12539350E+00
  2.19651572E-02  1.12554249E+00
  2.20444323E-02  1.12569138E+00
  2.21237154E-02  1.12584017E+00
  2.22030065E-02  1.12598886E+00
  2.22823055E-02  1.12613745E+00
  2.23616124E-02  1.12628593E+00
  2.24409272E-02  1.12643432E+00
  2.25202500E-02  1.12658260E+00
  2.25995806E-02  1.12673079E+00
  2.26789193E-02  1.12687886E+00
  2.27582658E-02  1.12702684E+00
  2.28376203E-02  1.12717471E+00
  2.29169828E-02  1.12732249E+00
  2.29963531E-02  1.12747016E+00
  2.30757315E-02  1.12761773E+00
  2.31551177E-02  1.12776519E+00
  2.32345119E-02  1.12791256E+00
  2.33139140E-02  1.12805982E+00
  2.33933241E-02  1.12820698E+00
  2.34727421E-02  1.12835403E+00
  2.35521680E-02  1.12850098E+00
  2.36316019E-02  1.12864783E+00
  2.37110438E-02  1.12879458E+00
  2.37904936E-02  1.12894122E+00
  2.38699513E-02  1.12908776E+00
  2.39494170E-02  1.12923420E+00
  2.40288906E-02  1.12938053E+00
  2.41083721E-02  1.12952676E+00
  2.41878617E-02  1.12967289E+00
  2.42673591E-02  1.12981891E+00
  2.43468645E-02  1.12996483E+00
  2.44263779E-02  1.13011064E+00
  2.45058992E-02  1.13025636E+00
  2.45854285E-02  1.13040196E+00
  2.46649657E-02  1.13054747E+00
  2.47445109E-02  1.13069286E+00
  2.48240640E-02  1.13083816E+00
  2.49036251E-02  1.13098335E+00
  2.49831942E-02  1.13112844E+00
  2.50627712E-02  1.13127342E+00
  2.51423561E-02  1.13141830E+00
