 ######################################################################
 #Data for Case=          18
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05    1001     10000  3.75000000E+00  3.89141528E+00  2.40556218E+00  4.07549113E-02  1.34681244E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/UAVG	
  3.06043392E-01  1.34873061E+00
  3.07049255E-01  1.34636106E+00
  3.08055219E-01  1.34397530E+00
  3.09061283E-01  1.34158538E+00
  3.10067447E-01  1.33917929E+00
  3.11073713E-01  1.33676904E+00
  3.12080079E-01  1.33434266E+00
  3.13086546E-01  1.33191212E+00
  3.14093113E-01  1.32946550E+00
  3.15099781E-01  1.32701471E+00
  3.16106549E-01  1.32454788E+00
  3.17113419E-01  1.32207688E+00
  3.18120389E-01  1.31958988E+00
  3.19127460E-01  1.31709872E+00
  3.20134631E-01  1.31459160E+00
  3.21141903E-01  1.31208030E+00
  3.22149276E-01  1.30955311E+00
  3.23156750E-01  1.30702173E+00
  3.24164324E-01  1.30447449E+00
  3.25171999E-01  1.30192307E+00
  3.26179775E-01  1.29935584E+00
  3.27187652E-01  1.29678443E+00
  3.28195629E-01  1.29419724E+00
  3.29203707E-01  1.29160587E+00
  3.30211887E-01  1.28899878E+00
  3.31220167E-01  1.28638750E+00
  3.32228547E-01  1.28376053E+00
  3.33237029E-01  1.28112939E+00
  3.34245611E-01  1.27848261E+00
  3.35254295E-01  1.27583164E+00
  3.36263079E-01  1.27316508E+00
  3.37271964E-01  1.27049433E+00
  3.38280950E-01  1.26780804E+00
  3.39290037E-01  1.26511756E+00
  3.40299225E-01  1.26241158E+00
  3.41308513E-01  1.25970141E+00
  3.42317903E-01  1.25697579E+00
  3.43327394E-01  1.25424598E+00
  3.44336985E-01  1.25150077E+00
  3.45346678E-01  1.24875136E+00
  3.46356471E-01  1.24598660E+00
  3.47366365E-01  1.24321764E+00
  3.48376361E-01  1.24043337E+00
  3.49386457E-01  1.23764491E+00
  3.50396655E-01  1.23484118E+00
  3.51406953E-01  1.23203327E+00
  3.52417353E-01  1.22921013E+00
  3.53427854E-01  1.22638280E+00
  3.54438455E-01  1.22354030E+00
  3.55449158E-01  1.22069361E+00
  3.56459962E-01  1.21783179E+00
  3.57470867E-01  1.21496578E+00
  3.58481872E-01  1.21208469E+00
  3.59492980E-01  1.20919942E+00
  3.60504188E-01  1.20629911E+00
  3.61515497E-01  1.20339462E+00
  3.62526907E-01  1.20047513E+00
  3.63538419E-01  1.19755147E+00
  3.64550032E-01  1.19461285E+00
  3.65561746E-01  1.19167007E+00
  3.66573561E-01  1.18871238E+00
  3.67585477E-01  1.18575052E+00
  3.68597495E-01  1.18277380E+00
  3.69609613E-01  1.17979292E+00
  3.70621833E-01  1.17679722E+00
  3.71634154E-01  1.17379736E+00
  3.72646577E-01  1.17078272E+00
  3.73659100E-01  1.16776394E+00
  3.74671725E-01  1.16473042E+00
  3.75684451E-01  1.16169276E+00
  3.76697279E-01  1.15864041E+00
  3.77710207E-01  1.15558393E+00
  3.78723237E-01  1.15251279E+00
  3.79736369E-01  1.14943753E+00
  3.80749601E-01  1.14634766E+00
  3.81762935E-01  1.14325367E+00
  3.82776370E-01  1.14014512E+00
  3.83789907E-01  1.13703245E+00
  3.84803545E-01  1.13390526E+00
  3.85817284E-01  1.13077397E+00
  3.86831125E-01  1.12762820E+00
  3.87845067E-01  1.12447834E+00
  3.88859111E-01  1.12131403E+00
  3.89873256E-01  1.11814564E+00
  3.90887502E-01  1.11496286E+00
  3.91901850E-01  1.11177599E+00
  3.92916299E-01  1.10857477E+00
  3.93930850E-01  1.10536949E+00
  3.94945502E-01  1.10214989E+00
  3.95960256E-01  1.09892624E+00
  3.96975111E-01  1.09568831E+00
  3.97990067E-01  1.09244634E+00
  3.99005125E-01  1.08919013E+00
  4.00020285E-01  1.08592990E+00
  4.01035546E-01  1.08265546E+00
  4.02050909E-01  1.07937701E+00
  4.03066373E-01  1.07608440E+00
